Email ID,Subject,From,Date,Is Job Related,Company,Position,Status,Job URL,Deadline,Notes,Confidence,Analysis Method,Matched Keywords,Analysis Time
10000,Critical: Alert Error Alert has triggered on Work Out API,RapidAPI Support <support@rapidapi.com>,2025-03-17 22:11:03.462843,False,Unknown Company,Unknown Position,Applied,,,,0.0,traditional,cv,2025-03-17T18:11:03.462888
9999,"=?utf-8?B?8J+ToiBZb3VyIEdpZyBEYXRhIEp1c3QgR290IFR3aWNlIGFzIEZh?=
	=?utf-8?B?c3Q=?=","""Solo"" <hello@send.worksolo.com>",2025-03-17 22:04:25+00:00,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T18:11:04.259978
9998,"=?UTF-8?B?UvOggIFl86CAgWFz86CAgXPzoICBZfOggIFz86CAgXPzoICBIPOggIFZ86CAgW/zoICBdfOggIFy86CAgSDzoICBSPOggIFl86CAgWHzoICBbPOggIF086CAgWgg86CAgVDzoICBbPOggIFh86CAgW7zoICBIGHzoICBbvOggIFk86CAgSDzoICB?=
 =?UTF-8?B?Q/OggIF186CAgXTzoICBIPOggIFD86CAgW/zoICBc3TzoICBc/OggIEg86CAgVN086CAgWHzoICBcvOggIF086CAgWnzoICBbvOggIE=?=
 =?UTF-8?B?ZyDzoICBTvOggIFv86CAgXfzoICBIfOggIE=?=","=?UTF-8?B?SPOggIFl86CAgWHzoICBbPOggIF086CAgWjzoICBY/OggIFh86CAgXLzoICBZS7zoICBY/OggIFv86CAgW3zoICBIPOggIFIZfOggIE=?=
 =?UTF-8?B?YfOggIFs86CAgXTzoICBaPOggIEgSfOggIFu86CAgXPzoICBdfOggIFy86CAgQ==?=
 =?UTF-8?B?YfOggIFuY/OggIFl86CAgQ==?= <gufdhseycyir@ingstast.com>",2025-03-17 22:03:47+00:00,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T18:11:04.916108
9997,=?utf-8?Q?Hide=20this=20email=20from=20your=20boss?=,Travis Marziani <travis@passionproduct.com>,2025-03-17 22:03:12+00:00,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T18:11:05.616498
9996,Found on side of road.,Your Poinciana neighbors <reply@ss.email.nextdoor.com>,2025-03-17 22:11:06.254532,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T18:11:06.254605
9995,Tax Credits Available for Solar and Powerwall,Tesla <energy@tesla.com>,2025-03-17 22:11:06.877999,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T18:11:06.878091
9994,"Naeim, jump-start your career at Fidelity",Fidelity Investments Careers <careers@fidelity.com>,2025-03-17 22:11:07.483283,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T18:11:07.483385
9993,CONFIRMED: PAYMENT #101793391072 - Thank you,"""E-Sign via BlueWaveLoans.com"" <info@consumerhelpsupport.com>",2025-03-17 17:38:29-04:00,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T18:11:08.115878
9992,The BATH TOWELS we can barely keep in stock,Wayfair <editor@members.wayfair.com>,2025-03-17 22:11:08.933661,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T18:11:08.933812
9991,"Naeim, your Vital Care benefits are waiting!","""Petco Membership"" <Petco@e.petco.com>",2025-03-17 15:30:13-06:00,True,Unknown Company,Unknown Position,Offer,,,,0.9,traditional,benefits,2025-03-17T18:11:09.553257
9990,"=?UTF-8?B?8J+aqCBMQVNUIENIQU5DRSEgTWVudG9yc2hpcCBFdg==?=
 =?UTF-8?B?ZW50IG9uIENhcmVlcnMgaW4gTWVudGFsIEhlYWx0?=
 =?UTF-8?B?aCwgQ291bnNlbGluZyAmIFJlc2VhcmNoIOKAkyBUdQ==?=
 =?UTF-8?B?ZXMsIE1hcmNoIDE4IGF0IDQ6MzAgUE0gKFpvb20p?=","""Michael Chin, The City Tutors"" <thecitymentors@thecitytutors.org>",2025-03-17 22:11:10.163103,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T18:11:10.163206
9989,"Naeim, Think You Can Ace Our Word Quiz?",WordThirst <words@smtp2.wordthirst.com>,2025-03-17 21:17:20+00:00,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T18:11:10.763393
