Email ID,Subject,From,Date,Is Job Related,Company,Position,Status,Job URL,Deadline,Notes,Confidence,Analysis Method,Matched Keywords,Analysis Time
10000,Save Big: $110 Discount on Blue Apron - Order Now!,"""Blue Apron Meal Delivery"" <mepb191@mepbrid.com>",2025-03-17 11:45:08-07:00,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T14:51:18.791152
9999,Dine your way to $5 bonus cash back,"""T-Mobile Dining Rewards"" <t-mobiledining@email.rewardsnetwork.com>",2025-03-17 12:41:45-06:00,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T14:51:19.433231
9998,"80-Count 13-Gallon Hefty Ultra Strong Tall Kitchen Trash Bags $10.17
 w/ S&S + Free Shipping w/ Prime or on $35+",Slickdeals Alerts <deals@da.slickdeals.net>,2025-03-17 18:51:20.029675,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T14:51:20.029827
9997,"Naeim, Confirm Your Loan Request - Thank you","""noreply@emeraldgreenloans.com"" <newsletter@alphastreamloans.com>",2025-03-17 13:32:05-04:00,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T14:51:20.706802
9996,RapidAPI - Test 'API Healthcheck' failed 377 consecutive times.,RapidAPI Testing <testing@rapidapi.com>,2025-03-17 18:51:21.334400,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T14:51:21.334482
9995,NEW COUPONS & DEALS! Over 100 Ways to Help You Save on Top Tools.,=?UTF-8?B?SGFyYm9yIEZyZWlnaHQ=?= <hft@em.harborfreight.com>,2025-03-17 18:23:39+00:00,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T14:51:21.941949
9994,"=?UTF-8?q?Naeim,_2025_Mortgage_Relief_for_Homeowners_=E2=9E=9D?=",Kelly M <kelly.m@homeaid101.com>,2025-03-17 18:18:20+00:00,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T14:51:22.513961
9993,=?UTF-8?B?4pqg77iPIFdBUk5JTkcg4pqg77iP?= MAY CONTAIN DEALS,Wyze <no-reply@hello.wyze.com>,2025-03-17 18:51:23.102626,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T14:51:23.102775
9991,Quick! Come back and save up to 30% on Passes and Fun Cards before it's gone!,"""SeaWorld Orlando"" <seaworld@m.seaworldparks.com>",2025-03-17 12:02:28-06:00,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T14:51:24.355199
9990,"You have to check out Best Buy Tech Fest! Take advantage of these
 amazing deals",Best Buy <BestBuy@email.bestbuy.com>,2025-03-17 18:51:24.977517,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T14:51:24.978095
9989,=?utf-8?B?QmUgVGVrbydzIGdvb2QgbHVjayBjaGFybSDwn42A?=,"""Fetch Pet Insurance"" <gofetch@email.fetchpet.com>",2025-03-17 13:49:40-04:00,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T14:51:25.546637
9988,Trump Just Dropped a Bombshell | [ March 17 ],"=?UTF-8?B?VHJ1bXDigJlzIE1pZG5pZ2h0IFVsdGltYXR1bSAjRnVuZCBGbHV4ZXMg?=
 =?UTF-8?B?VGVhbQ==?=
 <support@portfolio.fundfluxes.com>",2025-03-17 11:14:01-06:00,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T14:51:26.188981
9985,=?UTF-8?Q?10=20new=20jobs=20match=20your=20job=20search?=,=?UTF-8?Q?JobLeads?= <mailer@jobleads.com>,2025-03-17 18:46:22+01:00,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T14:51:29.281047
9984,Registration now open: AWS re:Inforce 2025,Amazon Web Services <aws-marketing-email-replies@amazon.com>,2025-03-17 17:41:41+00:00,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T14:51:29.936069
9983,=?UTF-8?B?SG9zdCBsaWtlIE1hcnRoYSEgVXAgdG8gNTAlIE9mZiDwn42977iP?=,"""JCPenney"" <JCPenney@email.jcpenney.com>",2025-03-17 11:34:15-06:00,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T14:51:30.570172
9982,=?UTF-8?B?8J+NgCBMdWNreSBZb3UsIEl04oCZcw==?= Dunk Time!,KFC <email@colonelsclub.kfc.com>,2025-03-17 18:51:31.326311,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T14:51:31.326431
9981,https://www.kissimmee.gov/Parks-Recreation-Events/...,Your Poinciana neighbors <reply@ss.email.nextdoor.com>,2025-03-17 18:51:31.879283,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T14:51:31.879544
9980,=?UTF-8?Q?Get_zero_trading_fees_on_your_next_trade_=E2=80=94_on_us!?=,Coinbase <info@mail.coinbase.com>,2025-03-17 17:18:38+00:00,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T14:51:32.445169
9979,"=?UTF-8?B?8J+aqCDwnZmO8J2ZnfCdmaTwnZmY8J2ZoPCdmZ4=?=
 =?UTF-8?B?8J2Zo/CdmZwg8J2ZjvCdmanwnZmW8J2ZqfCdmZrwnZmi?=
 =?UTF-8?B?8J2ZmvCdmaPwnZmpOiDwnZmP8J2Zp/CdmarwnZmi?=
 =?UTF-8?B?8J2ZpSDwnZmr8J2ZqC4g8J2ZlfCdmZrwnZmh8J2Zmg==?=
 =?UTF-8?B?8J2Zo/CdmajwnZmg8J2ZrvCdma7igJTwnZmB8J2Zng==?=
 =?UTF-8?B?8J2Zo/CdmZkg8J2ZivCdmarwnZmpIPCdmZLwnZmd8J2Zlg==?=
 =?UTF-8?B?8J2ZqSDwnZmD8J2ZlvCdmaXwnZml8J2ZmvCdmaPwnZma?=
 =?UTF-8?B?8J2ZmSB8IE1hciAxNywgMjAyNQ==?=",=?UTF-8?Q?Trump=E2=80=99s_Bold_Move_=E2=80=A2_Martin_Kirkwood_=7C_TSS_?= <news@e.thestockstandout.com>,2025-03-17 17:18:24+00:00,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T14:51:33.095688
9978,"=?UTF-8?B?Q2hlY2sgaXQgb3V0IPCfkYAgTGltaXRlZC10aW1lIHNhdmluZ3Mg?=
 =?UTF-8?B?anVzdCBmb3IgeW91?=","""PetSmart"" <PetSmart@mail.petsmart.com>",2025-03-17 11:15:07-06:00,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T14:51:33.704041
9977,Making progress on your 2025 financial goals?,"""Newrez"" <hello@eml.newrez.com>",2025-03-17 11:04:46-06:00,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T14:51:34.300879
9976,"Webull Premium, The Next Level of Your Brokerage Experience",Webull <noreply@marketing.webull.com>,2025-03-17 17:04:39+00:00,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T14:51:34.938904
9975,"HEY, DON'T FORGET: YOUR 25% OFF COUPON EXPIRES SOON!","=?UTF-8?B?U3RvcmUgTWFuYWdlciwgSGFyYm9yIEZyZWlnaHQ=?=
 <hft@em.harborfreight.com>",2025-03-17 17:01:51+00:00,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T14:51:35.515386
9974,"=?UTF-8?Q?=E2=80=9Csoftware_engineer=E2=80=9D:_True_Scout_P?=
 =?UTF-8?Q?artners_-_DevOps_Engineer_and_more?=",LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,2025-03-17 18:51:36.116602,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T14:51:36.116765
9973,EXTENDED: Special $59.99 Ticket Offer,"""SeaWorld Orlando"" <seaworld@m.seaworldparks.com>",2025-03-17 10:35:47-06:00,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T14:51:36.686940
9972,"Exciting  java software engineer  Job Openings near mantua OH, Naeim","""Employment America Guide"" <help@jobs1.employmentforamerica.com>",2025-03-17 16:41:22+00:00,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T14:51:37.263296
9970,"Naeim, Join the ultimate job search.","""Employment America"" <help@jobs1.employmentforamerica.com>",2025-03-17 16:29:37+00:00,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T14:51:38.537315
9968,"=?UTF-8?B?8J+MuCBVcCB0byA0MCUgb2Zm4oCUU3ByaW5nIGRlYWxzIGFyZSBp?=
 =?UTF-8?B?biBibG9vbSE=?=","""myQ Updates"" <myqinfo@info.chamberlain.com>",2025-03-17 10:05:43-06:00,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T14:51:39.833795
9967,=?utf-8?Q?An=20Easy=20Way=20To=20Ensure=20Cash=20Flow......?=,Taxbox <taxboxrefund@108654806.mailchimpapp.com>,2025-03-17 16:04:41+00:00,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T14:51:40.378860
9966,Unlock Your St. =?UTF-8?B?UGFkZHnigJlz?= Day Discount,Sunday <hello@getsunday.com>,2025-03-17 18:51:41.010647,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T14:51:41.010884
9964,"Naeim, Your Updated Car Insurance Options Are Here",Auto Quotes <words@smtp1.wordthirst.com>,2025-03-17 12:06:09-04:00,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T14:51:42.201365
9962,Multiple pests =?UTF-8?B?4oaS?= 1 product,DIY Pest Control <no-reply@diypestcontrol.com>,2025-03-17 18:51:43.337609,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T14:51:43.337662
9961,=?utf-8?B?RG9uJ3QgTWlzcyBZb3VyIDI1JSBPZmYgQ291cG9uIPCfjYA=?=,"""Bed Bath & Beyond"" <email@promotion.bedbathandbeyond.com>",2025-03-17 15:43:12+00:00,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T14:51:43.919264
9960,"=?utf-8?B?IFNlY3VyZSBZb3VyIFNwb3QgZm9yIFRoaXMgV2Vla+KAmXMgVG9w?=
	=?utf-8?B?IFdlYmluYXJzIQ==?=","""FlexJobs Events"" <feedback@email.flexjobs.com>",2025-03-17 15:38:23+00:00,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T14:51:44.549972
9959,"Can you claim the top spot in this weeks $5,000 =?UTF-8?B?TGVhZGVyYm9h?=
 =?UTF-8?B?cmQ/?=",betOcean <info@betocean.com>,2025-03-17 15:35:45+00:00,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T14:51:45.106326
9958,"=?UTF-8?B?VHdvIE1lbnRvcnNoaXAgRXZlbnRzIFRoaXMgV2Vl?=
 =?UTF-8?B?ayDigJMgTmV0d29yayB3aXRoIFByb2Zlc3Npb25hbHM=?=
 =?UTF-8?B?IGluIE1lbnRhbCBIZWFsdGgsIEFkVGVjaCwgRmlu?=
 =?UTF-8?B?YW5jZSAmIE1vcmUhIChab29tICYgSW4tUGVyc29uKQ==?=","""Michael Chin, The City Tutors"" <thecitymentors@thecitytutors.org>",2025-03-17 18:51:45.673100,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T14:51:45.673170
9956,=?utf-8?B?U2F5IGdvb2RieWUg8J+RiyB0byBtYW51YWwgc3ByZWFkc2hlZXRz?=,"""NerdWallet"" <nerdwallet@mail.nerdwallet.com>",2025-03-17 15:16:23+00:00,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T14:51:46.921870
9955,"Did You Forget to Save up to 50% on tickets, Fun Cards, & Passes?","""Aquatica Orlando"" <aquatica@m.seaworldparks.com>",2025-03-17 09:06:24-06:00,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T14:51:47.637569
9954,Welcome Spring with Huge Limited Time Savings,"""Tractor Supply Company"" <email@ea.tractorsupply.com>",2025-03-17 10:10:53-05:00,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T14:51:48.279440
9953,"Naeim, spring into action with exclusive homeowner tools","""Wells Fargo Online"" <wellsfargoonline@mail1.wellsfargo.com>",2025-03-17 09:02:07-06:00,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T14:51:48.851842
9952,"Tap into your =?UTF-8?B?aG9tZeKAmXMgZXF1aXR5IHdpdGggU29GaeKAmXM=?=
 competitive rate.",SoFi <no-reply@r.sofi.com>,2025-03-17 18:51:49.504542,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T14:51:49.504595
