Email ID,Subject,From,Date,Is Job Related,Company,Position,Status,Job URL,Deadline,Notes,Confidence,Analysis Method,Matched Keywords,Analysis Time
10000,Found on side of road.,Your Poinciana neighbors <reply@ss.email.nextdoor.com>,2025-03-17 22:00:29.145886,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T18:00:29.146122
9999,Tax Credits Available for Solar and Powerwall,Tesla <energy@tesla.com>,2025-03-17 22:00:29.890385,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T18:00:29.890700
9998,"Naeim, jump-start your career at Fidelity",Fidelity Investments Careers <careers@fidelity.com>,2025-03-17 22:00:30.659141,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T18:00:30.659284
9997,CONFIRMED: PAYMENT #101793391072 - Thank you,"""E-Sign via BlueWaveLoans.com"" <info@consumerhelpsupport.com>",2025-03-17 17:38:29-04:00,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T18:00:31.416266
9996,The BATH TOWELS we can barely keep in stock,Wayfair <editor@members.wayfair.com>,2025-03-17 22:00:32.109569,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T18:00:32.109786
9995,"Naeim, your Vital Care benefits are waiting!","""Petco Membership"" <Petco@e.petco.com>",2025-03-17 15:30:13-06:00,True,Unknown Company,Unknown Position,Offer,,,,0.9,traditional,benefits,2025-03-17T18:00:32.801169
9994,"=?UTF-8?B?8J+aqCBMQVNUIENIQU5DRSEgTWVudG9yc2hpcCBFdg==?=
 =?UTF-8?B?ZW50IG9uIENhcmVlcnMgaW4gTWVudGFsIEhlYWx0?=
 =?UTF-8?B?aCwgQ291bnNlbGluZyAmIFJlc2VhcmNoIOKAkyBUdQ==?=
 =?UTF-8?B?ZXMsIE1hcmNoIDE4IGF0IDQ6MzAgUE0gKFpvb20p?=","""Michael Chin, The City Tutors"" <thecitymentors@thecitytutors.org>",2025-03-17 22:00:33.670626,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T18:00:33.670982
9993,"Naeim, Think You Can Ace Our Word Quiz?",WordThirst <words@smtp2.wordthirst.com>,2025-03-17 21:17:20+00:00,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T18:00:34.490958
9992,"=?UTF-8?B?QnJldyBhIGxhdHRlIG9mIGx1Y2sgd2l0aCA1IGJveGVzIGZvciAk?=
 =?UTF-8?B?NTUg8J+NgA==?=","""Keurig"" <keurig@em.keurig.com>",2025-03-17 15:13:56-06:00,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T18:00:35.312286
9991,Your Weekly Business Report from Solo,"""Solo"" <hello@send.worksolo.com>",2025-03-17 21:13:52+00:00,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T18:00:36.249490
9990,Explore Other Finance Options,Tesla <noreply@tesla.com>,2025-03-17 22:00:36.990371,True,Unknown Company,pre,Applied,,,,0.7,traditional,"application,cv,career",2025-03-17T18:00:36.990502
9989,"Naeim, It's Your Lucky Day! Get 12% Off Your Outdoor Kitchen",Aly McPherson <amcpherson@rtaoutdoor.com>,2025-03-17 17:03:56-04:00,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T18:00:37.763873
9988,Your funds are being transferred,Uber Pro Card App <uberprocard@info.branchapp.com>,2025-03-17 22:00:38.589042,True,Unknown Company,Unknown Position,Applied,,,,0.7,traditional,"job,cv",2025-03-17T18:00:38.589145
9987,"=?UTF-8?Q?=E2=80=9Csoftware_developer=E2=80=9D:_Joinrs_US_-?=
 =?UTF-8?Q?_Junior_Software_Engineer_and_more?=",LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,2025-03-17 22:00:39.206018,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T18:00:39.206231
9986,Do You Know Your Credit Score?,"""Equifax"" <info@e.equifax.com>",2025-03-17 14:37:50-06:00,False,Unknown Company,Unknown Position,Applied,,,Marketing email detected,0.0,traditional,,2025-03-17T18:00:40.022428
